text,class
VITTOR A in the Village Wine Appetizers Pasta Desserts Cooktails,rest_drink
NEW DAY BARTON I D A PHARMACY SINCE,health_pcare
Frank's Sicilia Bakery,rest_drink
COMPU ELECTRO ACCESSORIES,technology
HL HOOPER LITIGATION Law Firm,finance_investing
VACUUM CLEANER CENTRE LTD,other
BMO,finance_investing
F L A CAFE & BAR,rest_drink
HENDRY'S BARBERSHOP,health_pcare
anytime CONVENIENCE ATM,food_beverage
BMO Bank of Montreal,finance_investing
TRANSITIONS HAIR DESIGN Hair Esthetics Tanning,health_pcare
MHKSushi,rest_drink
THE CUCKOO'S NEST CARD & GIFT SHOP,other
GGFL Chartered Professional Accountants,finance_investing
the village cafe,rest_drink
the village cafe,rest_drink
FL WERS TALK TIVOLI,other
Hardy mattress feather Inc,other
Dr Jordan Pettigrew Family Dentistry,health_pcare
PURE YOGA,health_pcare
VANILLA,fashion
Richmond Hair Studio,health_pcare
KITCHENALIA,other
DE LUCA Hair,health_pcare
DE LUCA Hair Architexture,health_pcare
DE LUCA Hair Architexture,health_pcare
WESTBORO MORTGAGE INVESTMENT CORP,finance_investing
CapitalProGroup taxes bookkeeping wealth insure,finance_investing
3 wild women,fashion
Oh so Good DESSERT & COFFEE HOUSE,rest_drink
the Record Centre,technology
SPRINGROLL HOUSE CAFE,rest_drink
Audiovideo C,technology
WELLS FARGO,finance_investing
orangetheoryFITNESS,health_pcare
NEW USED PARTS APPLIANCE SERVICE FRIGES STOVES WASHERS DRYERS,technology
LCBO,food_beverage
WINE SPIRITS BEER,food_beverage
Nick Casciano CUSTOM TAILOR PROFESSIONAL HAND MADE SUITS Syd Silver FORMALS,fashion
COMPUTERS,technology
LCBO,food_beverage
REAL CANADIAN SUPERSTORE,food_beverage
REAL CANADIAN SUPERSTORE,food_beverage
JOE FRESH,food_beverage
SEWING BY KIM ALTERATIONS WE MAKE IT FIT FOR YOUR SIZE,fashion
REAL CANADIAN SUPERSTORE,food_beverage
POLANCO Home Furniture & Interior Decor Solutions,other
CIBC Banking Centre,finance_investing
VivereWellness,health_pcare
CIBC Banking Centre,finance_investing
GOLD & JEWELLERY BUYERS,fashion
simple coffee & wine,rest_drink
napolis WESTBORO Family Owned and Operated Since,rest_drink
LEGACY AUTO CENTER SERVICE,other
napolis,rest_drink
Bella's BISTRO ITALIANO,rest_drink
mocktail,fashion
AMH style,fashion
ROWAT INSURANCE AUTO HOME BUSINESS LIFE,finance_investing
ENGEL & VOLKERS,finance_investing
ENGEL & VOLKERS,finance_investing
AMH style,fashion
Chesterfield's gastro diner a not so greasy spoon,rest_drink
Chesterfield's gastro diner,rest_drink
metro,food_beverage
metro,food_beverage
VIZCAYNE,health_pcare
VIZCAYNE,health_pcare
orangetheoryFITNESS,health_pcare
BOMBBARDIERI Uniforms,fashion
Island Park Dental,health_pcare
PHO VIET TASTE VIETNAMESE THAI CUISINE RESTAURANT,rest_drink
the wellington diner FAMILY FOOD FUN & FRIENDS,rest_drink
the wellington diner,rest_drink
Chris Lee & Leandro SALON,health_pcare
CAFFE mio,rest_drink
CAFFE mio LICENSED BAR BISTRO,rest_drink
RED salon,health_pcare
Valamode,fashion
John's,rest_drink
IL NEGOZIO NICASTRO,rest_drink
ANYTIME FITNESS,health_pcare
Expedia cruiseshipcenters,other
CAPITAL CITY LUGGAGE,other
CAPITAL CITY LUGGA,other
WELLINGTON DENTAL CARE,health_pcare
Pho Asparagus,rest_drink
Lava PIZZA WINGS,rest_drink
wine rack,food_beverage
Sevil FASHION & BRIDAL,fashion
SUPPLY AND DEMAND FOODS & RAW BAR,rest_drink
arc of life,health_pcare
CHIROPRACTIC & NATURAL HEALTH,health_pcare
sloves Meat Market Purweyors of Fine Local Meats Since LAMB POULTRY BISON FRESH FISH SEAFOOD STORE MADE PREPARED MEALS DELI STORE MAD,food_beverage
PUBBLICO,rest_drink
Massage Addict,health_pcare
orbis risk consulting Audit & Internal Con Performance Improv Risk Management,other
arc of life,health_pcare
CHIROPRACTIC & NATURAL HEALTH,health_pcare
Parma Ravioli,food_beverage
macarons madeleines,rest_drink
Parma Ravioli,food_beverage
bagelsubs,food_beverage
ottawa bagelsubs and deli International Cheese Chocolate Gift Baskets,food_beverage
Herb & Spice,food_beverage
A FRESH FOOD STORE,food_beverage
Quality Cannabi Superette Open 7 days a week,other
Hillary's THE NICEST CLEANING IN TOWN,other
SUSH UM,rest_drink
BARBER SHOP LEGENDS OF THE TRADE,health_pcare
VAPE E-CIGS E-JUICE COILS Smokavana PIPES CIGARS PAPERS BLUNTS TOBACCO,other
COFFEE & EATS,rest_drink
HAIR FELLAS SCHOOL of BARBERS,health_pcare
Kulu Gems . Minerals . Jewellery,fashion
 XC SKIS FRESH AIR EXPERIENCE BIKES,other
aurelius FOOD Co. FINE OLIVE OILS & BALSAMIC VINEGARS,food_beverage
Allegra Contemporary Clothing for Women,fashion
REVEelle BRIDAL BOUTIQUE,fashion
STUDIO ME HAIR DESIGN,health_pcare
THE HAIR COMMITTEE,health_pcare
Wheelhouse,other
BRIDGEHEAD,rest_drink
scratch,technology
Casa Del Marinero ELECTRONICS,technology
MISTER C BARBERSHOP,health_pcare
Flock boutique,fashion
Hasty Market,food_beverage
SIAM BISTRO,rest_drink
TOMMASO'S SALON FOR HAIRSTYLIST,health_pcare
Rema CONVENIENCE STORE,food_beverage
PAYDAY ADVANCE,finance_investing
Bamboo Salon & Spa Hair Esthetic Skin Unisex,health_pcare
The DryCleaning Co Laundry and Tailoring Services,other
MAGIC REPRODUCTIONS INSTANT PRINTING & PHOTOCOPYING SERVICES,technology
COMPUTERS SALES SERVICE REPAIR UPGRADES,technology
THYME AGAIN,rest_drink
THYME AGAIN,rest_drink
TAX AMNESTY,finance_investing
Wild Willy's PLANTS & FLOWERS,other
WELLINGTON WHOLESALE SEAFOOD,food_beverage
Wellington Seafood,food_beverage
Audiovedio Centre,technology
SPRINGROLL HOUSE CAFE,rest_drink
GT xpress fast and friendly,food_beverage
TENNESSY WILLEMS THE WOOD OVEN PIZZA JOINT,rest_drink
the Elmdale OYSTE House & TA,rest_drink
MORRIS FORMAL WEAR,fashion
MORRIS FORMAL WEAR,fashion
MORRIS FORMAL WEAR,fashion
VAGUEIRA BAKERY PASTRY RTPi and Cafe,rest_drink
wabi sabi Knit . Spin . Weave,fashion
wabi sabi,fashion
the mobile LAWYER legal services at your door,finance_investing
mint HAIR STUDIO,health_pcare
Drink Coffee Save Cats,rest_drink
SUBWAY,rest_drink
PHARMASAVE,health_pcare
PREMIUM PERFORMANCE FITNESS  CE CENE,health_pcare
BREAD BY US ARTISAN BAKERY & ESPRESSO,rest_drink
ALLURE LOUNGE CATERING RESTAURANT AND BAR,rest_drink
Marche Market HINTONBURG,food_beverage
FORBES BEAUTY CO,health_pcare
BRIDGEHEAD,rest_drink
BRIDGEHEAD,rest_drink
BRIDGEHEAD,rest_drink
The Hintonburg Public House,rest_drink
CIRCLE K,food_beverage
ADULT SHOP & HEAD SHOP,other
QPIXXX,other
f ric ations sew.create.learn,fashion
The Hair Salon,health_pcare
10 fourteen,rest_drink
LAUNDRY MAJESTIC,other
Wellington Eatery,rest_drink
The Hintonburg Hairhouse,health_pcare
LES MOULINS LA FAYETTE BAKERY CATERING COFFEE,rest_drink
AFRICCO GLOBAL MARKET,other
FINEST QUALITY CROWS NEST BARBERSHOP,health_pcare
Mary Janes,fashion
LCBO,food_beverage
WINE SPIRITS BEER,food_beverage
Le Style TAILOR SHOP AND ALTERATION,fashion
#1 CHINESE TAKE OUT & DELIVERY,rest_drink
DL Salon,health_pcare
LIQUIDATION CENTRE ELECTRIC BEDS BED ACCESSORIES AND MORE,other
STIR IT UP INC In the Gritty City CAFE,rest_drink
INTERTECH ELECTRONICS REPAIR,technology
BAR AND GRILL West Indian & Canadian Menu,rest_drink
Hair Retreat Ember,health_pcare
Sports Bar & Restaurant Pool & Shuffleboard Eat in Take Out,rest_drink
Marie Antoinette & Co,fashion
Marie Antoinette & Co,fashion
Tinseltown Christmas Emporium,fashion
Tinseltown Christmas Emporium,fashion
IRON NORTH STUDIO pedal run lift stretch,health_pcare
BBARTON MEDICAL PHARMACY,health_pcare
the CAPELLI club,health_pcare
the CAPELLI club,health_pcare
Hintonburger,rest_drink
Remedy'sRx PHARMACY YOUR HOME HEALTH CARE CENTRE CUSTOM MADE BRACING & ORTHOTICS,health_pcare
CDC ORTHOPAEDIC SERVICES HOME HEALTHCARE CENTRE,health_pcare
OTTAWA'S Hintonburger BEST BURGER FRESH . LOCAL . HANDMADE,rest_drink
grafik visuals SIGNS & BANNERS,technology
POLE FITNESS ACADEMY,health_pcare
Lemon Grass Thai Take Out,rest_drink
HINTONBURG DENTAL HYGIENE,health_pcare
DOLLARAMA,other
ACTEK FULL AUTOMATIVE REPAIR & MACHINE SHOP FACILUTIES,other
Takaki AUTOMATIVE,other
Wine Pressing and Suppliees Ltd.,food_beverage
Centretown Veterinary Hospital,health_pcare
CHUA PHO DA,rest_drink
INDIAN EXPRESS LICENSED RE TAURANT DINE IN T KE OUT,rest_drink
Lobster NOODLE HOUSE VIETNAMESE CUISINE DINE IN TAKE OUT DELIVERY,rest_drink
VINA REALITY INC,finance_investing
INDIAN EXPRESS TANDORI EXPRESS MANGO LASSI FULLY LICENSED DINE IN TAKE OUT DELIVERY,rest_drink
GENERAL PIZZA WINGS & SHAWERMA PICK UP OR DELIVERY,rest_drink
Hung Sum Restaurant DIM SUM & CHINESE FOOD,rest_drink
ALL DAY DIM SUM,rest_drink
Unique Beauty Spa,health_pcare
May's Garden Restaurant Chinese Food,rest_drink
May's Garden Restaurant Chinese Food,rest_drink
LUCIANO FOODS SPECIALIZING IN FRESH MEAT CHEESE DELI & ITALIAN PRODUCTS,food_beverage
Pubwells,rest_drink
TREAD PRO Tire Centre,other
purple urchichin YOU NEED SOAP PD SOAP PU,health_pcare
PHO ORIENTAL CUISINE AC SPECIALIZING IN VIETNAMESE,rest_drink
YIMIN DIM SUM HOUSE,rest_drink
SOMERSET T AVEL AGENCY,other
Pho Bo Ga Specialized Vietnamese Beef & Chicken Noodle Soup,rest_drink
KAPLAN IMMIGRATION LAW OFFICE,finance_investing
del Roosario Financial Services,finance_investing
Hangout,rest_drink
HILL TO LAUNDROMART VALUE MAR,other
VIDEO SANG VALUE MART,technology
SUPER HUNG PHAT Grocery,food_beverage
Kim Thanh Jewellery,fashion
Somerset View ASIAN CUISINE FULLY LICENSED,rest_drink
VINA Medical Centre,health_pcare
CLINIC PHARMACY AN,health_pcare
HONNEY BOBA,rest_drink
Karuna Café SOUTH INDIAN AND SIRLANKAN LOUNGE,rest_drink
Mai Mai Salon,health_pcare
LILLY JEWELLERY BEAUTY & SKIN CARE,fashion
BEAUTY NAIL SUPPLY,health_pcare
DK Hair & Spa Unisex,health_pcare
HOANG LAN JEWELLERY,fashion
HOANG LAN JEWELLERY,fashion
CAFE ORIENT HONG KONG RESTAURANT,rest_drink
OTTAWA MEDICAL PHARMACY & COMPOUNDING CENTRE,health_pcare
Tim Hortons,rest_drink
TTAWA MEDICAL PHA ACY & COMPOUNDING CENTRE,health_pcare
OTTAWA MEDICAL PHARMACY,health_pcare
Lim Bangkok GROCERY RETAILING ORIENTAL FOOD TROPICAL FRUIT FRESH VEGETABBLE AND MEAT,food_beverage
Sea Food Market,food_beverage
MY HANG VIETNAMESE SUBMARINE & FAST FOOD,rest_drink
MEHFIL Indian Cuisine Curry and Kabab Dine in and Take out,rest_drink
MEHFIL CUISINE,rest_drink
Korean House RESTAURANT,rest_drink
Pho Thi Do Restaurant Vietnamese Cuisine,rest_drink
Aline Hair Design Unisex,health_pcare
"SAIGON MEATS & VEGETA LES ALWAYS FRESH MEAT, FRUIT & VEGTABLES",food_beverage
PHO BO GA KING,rest_drink
EASTVIEW TRAVEL,other
CO CHAM PHO,rest_drink
Cantonese and Szechuan Cuisine Fully Licensed ROYAL TREASURE RESTAURANT,rest_drink
Contonese and Szechuan Cuisine Fully LicensedROYAL TREASURE RESTAURANT,rest_drink
Pho bo go LA,rest_drink
Little LATIN AMERICA VIDEO'S & GROCERIES,food_beverage
InTAC ACCOUNTING & TAXATION SERVICES,finance_investing
Shiraz Market Quality Market,food_beverage
SEAS PIZZA,rest_drink
MAHT KOREAN RESTAURANT,rest_drink
MAHT KOREAN RESTAURANT,rest_drink
BUBBLICITY tea shop,rest_drink
DUMPLINGBOWL,rest_drink
HealthMed LYAN PHARMACY,health_pcare
PING FAT LEE,food_beverage
SO GOOD RESTAURANT INC SPECIALIZE CANADIAN THAI VIETNAMESE SZECHUAN CANTONESE,rest_drink
Phuket Royal,other
MOTHER'S VIETNAMESE KITCHEN,rest_drink
KOREANA KOREAN & JAPANESE CUISINE,rest_drink
KOREANA KOREAN & JAPANESE CUISINE,rest_drink
BBQ,rest_drink
SUSHI,rest_drink
NObOdy's Perfect BAR & GRILL,rest_drink
BEN BEN RESTAURANT Szechuan & Cantonese Cuisine,rest_drink
MobileNet Plus,technology
Nancy Hair Salon,health_pcare
Oriental Chu Shing Restaurant Cantonese Szechuan Cuisine & Dim Sum Order takeout online at,rest_drink
Sushi 88 JAPANESE RESTAURANT & TAKE-OUT,rest_drink
BAR ROBO COFFEE COCKTAILS SNACKS SHOWS,rest_drink
CD VCD DVD PROMOTIONAL SOUVENIRS GIFTS GIVE AWAYS,technology
Chatime GOOD TEA GOOD TIME,rest_drink
pizza pizza,rest_drink
pizza pizza,rest_drink
Scotiabank,finance_investing
Scotiabank,finance_investing
Ishall travel,other
BUTCHER And The vegan,food_beverage
MEKONG asian cuisine,rest_drink
BBARBER SHOP JROAHZNONRY,health_pcare
BBARBER SHOP JROAHZNONRY,health_pcare
CLEAR SKY,finance_investing
CHINESE ACUPUNCTURE & HERS CENTER,health_pcare
VAPINGSTORY & SMOKE,other
ROKU Bar Biles,rest_drink
Fine Korean Cuisinen Korean Palace,rest_drink
FADES INTERNATIONAL BARBER SHOP,health_pcare
ROYAL SCISSORS,health_pcare
ROYAL SCISSORS,health_pcare
BEER STORE,food_beverage
BEER STORE,food_beverage
BEER STORE,food_beverage
DARLING VINTAGE,fashion
COSMETALOGY BEAUTY BAR,health_pcare
COSMETALOGY BEAUTY BAR,health_pcare
PAVARAZZI'S to your door,rest_drink
Budget,other
Budget,other
Budget,other
Kars CONFECTIONERY,food_beverage
Isaby DECO & MODE,fashion
Restaurant Lotus Royal Thai,rest_drink
The Little GRASASSHOPPER Cafe,rest_drink
SOS Phone,technology
SOOKHAM conscious eatiating,rest_drink
SAMY'S DRUG MART,health_pcare
country style Please use the same Drug Mart Entrance,rest_drink
VISTA Health Clinics,health_pcare
Salon Jacques Coiffure pour hommes,health_pcare
POUTINE VILLE,rest_drink
Bon Gel Salon COIFFURE POUR ELLE ET LUI,health_pcare
KFC,rest_drink
Domino's,rest_drink
BMO Bank of Montreal,finance_investing
WELCOME MART 24 HOURS ATM MACHINE,food_beverage
PHAMACIE,health_pcare
Jean Coutu,health_pcare
TELUS KOODO,technology
Trident DAVID'S VARIETY,food_beverage
DELI AND CATERING Family Tradition GENUINE BAKERY,rest_drink
National Tax And Business Services INCOM TAX INSTANT CASH BACK E LIFE ACCOUNTING SERVICE,finance_investing
PHARMAPRIX,health_pcare
Steelworkers DENTAL Open To The Public,health_pcare
KOOKOOZ ICECREAM PARLOUR,rest_drink
Thai express,rest_drink
CAFE DEPOT,rest_drink
Naiails Spa Pedicure Maniclanicure Nails Art Airbrush WaxiWaxing Massage Acrylic Gel Poel Powder UV Gel,health_pcare
Money Mart Money Mart,finance_investing
Couche-Tard,food_beverage
STOCKHOLM CAFE,rest_drink
FOOT MASSAGE,health_pcare
ANGELO'S HAIRSTYLING UNISEX,health_pcare
EXPRESS CASH 2000  CASH SHOP WESTERN UNION PAYDAY ADVANCE CHEQUES CASHED MONEY TRANSFER,finance_investing
Roots,fashion
EYE EXAM ARRANGED OPTICAL CLEARAANCE OUTLET CONTACT LENSES,health_pcare
STOCKHOLM CAFE,rest_drink
ORIGINES,fashion
Vapo Club ARTICLES POUR VAPOTEURS,other
L LAVISH NAILS NAILS & MEDI SPA,health_pcare
CASH4YOU LOANS & Financial Services,finance_investing
JEAN COU U,health_pcare
COOL AS A MOOSE BOUTIQUE DE SOUVENIRS,fashion
McDonald's,rest_drink
BUSY BEE FOOD MART,food_beverage
GINO'S PIZZA,rest_drink
CELL TECH FOR LESS Phone & Laptop Repair Accessories Sales,technology
KATHY NAILS,health_pcare
DAVIDsTEA,food_beverage
EDIFICE CASSULO,fashion
LOGO SPORT HOCKEY ZONE,fashion
SHOPPERS DRUG MART,health_pcare
"Shine Mobiles we sell unlocked phones, topups & cellphone accessories",technology
ucuykc UKRAINIAN CREDIT UNION LIMITED,finance_investing
Sebz THE & LOUNGE,rest_drink
METLT wich food co Grilled Cheese Poutine Wraps Burgers Shakes & More,rest_drink
THE PARM HOUSE LUNCH COUNTER TAKE OUT ONLY,rest_drink
BANQUE NATIONALE,finance_investing
BANQUE NATIONALE,finance_investing
Pgatbooy E VAPEES,other
Barton Street Clinic SAMY'S DRUG MART CITY PHARMACY,health_pcare
PIZZA & GRILL,rest_drink
O'O'NEILL'S FAMOUS FOR WINGS BURGS FISH & CHIPS MORE,rest_drink
Branka's AUDIO VIDEO LIMITED SERVING HAMILTON SINCE 1974,technology
INDEPENDENT HEADQUARTERS,finance_investing
Porta Classica,fashion
TIFFANY'S NAILS,health_pcare
Aida Dominican Style Beauty Salon,health_pcare
Aicha's African Hair Braiding,health_pcare
Touch of ss Beauty Salon,health_pcare
Porta Classica,fashion
Porta Classic,fashion
Salon Bounce ,health_pcare
MASTER HAIR BARBER SHOP,health_pcare
VIP WIRELESS CELL PHONE SERVICES UNLOCK & REPAIRS BILL PAYMENTS MONEY TRANSFERS COMPUTER SERVICES ACCESSORIES & MORE,technology
MILLENNIUM MARKET,food_beverage
MILLENIUM STORE inc,food_beverage
FERNANDEZ Liquors,food_beverage
FERNANDEZ Liquors,food_beverage
LOTTERY Fernandez Brothers GROCERY SPAMISH & AMERICAN FOOD FRUITS & VEGETABLES EBT PHONE CARD,food_beverage
CHECK CASHING FREE MONE ORDE WESTERN UNION,finance_investing
DlLaly's BEAUTY SALON Special WASH AND DRY EVERY SET TUE WEDNESDAY FOR ONLY,health_pcare
CHECK CASHING FREE MONEY ORDERS WESTERN UNION,finance_investing
Stash,rest_drink
FAST CASH Payday Loans,finance_investing
L A NAILS Sudio,health_pcare
STASH'S,rest_drink
"Law Office of Susan T. Aguiar,LLC",finance_investing
Salon Si HAIR,health_pcare
4 Star Dance Studio,other
"Law Office of Susan T. Aguiar,LLC",finance_investing
IMPRINT BOSTON,technology
Bocao Latin Flavor,food_beverage
Rose's Hair Design,health_pcare
Bocao Latin Flavor,food_beverage
Harvard Street Neighborhood Health Center,health_pcare
3JHOOKAH,other
metroPCS,technology
JOHN'S BARBER SHOP,health_pcare
ROSA'S FAMILY MARKET,food_beverage
PROFESSIONAL DRY CLEANERS,other
& TAILORS,fashion
THE ORIGINAL RINO'S PIZZA,rest_drink
Four Sons CONVENIENCE STORE,food_beverage
LA MARAVILLA BARNER SHOP,health_pcare
FINE WINE,food_beverage
BROTHER'S WINE & SPIRITS,food_beverage
Warren Insurance Agency Inc,finance_investing
Warren Insurance Agency AUTO-HOME-LIFE,other
THC MEDICINAL DISPENSARY MEDICAL REFERRALS AND LICENSED PATIENTS ONLY,health_pcare
Master of Disguise FOR ALL YOUR COSTUME NEEDS,health_pcare
HOPES CONVENIENCE,food_beverage
HOPES CONVENIENCE,food_beverage
YONG HON CHINESE FOOD We Deliver,rest_drink
NATIFNATAL RESTAURANT The Best Haitian Cuisine,rest_drink
SMOKEY SLUSHES,rest_drink
DONUTS COFFEE CHOCOLATE PATTY FRiTAY,rest_drink
"Country Kitchen Seafood, Soup & Grill",rest_drink
LEGACY HAIR SALON,health_pcare
AUTO & HOME INSURANCE,finance_investing
BLUE HILL TIRE SHOP NEW USED FLAT FIXED,other
BARBER SHOP,health_pcare
FREE CHECKING East Boston Savings Bank,finance_investing
Al Market inc,technology
NBA Barbershop Shave & Haircuts,health_pcare
H&R BLOCK,finance_investing
McDonald's,rest_drink
Bank of America,finance_investing
CLOTHING SHOES SNEAKERS,fashion
ELDA S. JAMES ATTORNEY AT LAW,finance_investing
DIASPORA EXPRESS AND VIDEO SERVICES,technology
C.A.M. AGENT AUTORISE,technology
PITIT KAY BOUTIK,fashion
ALL CHECKS,finance_investing
WESTERN UNION,finance_investing
metroPC,technology
PRIME TIMME SPORTS BAR AND GRILLGRILL,rest_drink
Afro Caribbean Bar & Restaurant & Caribbean Cuisine,rest_drink
panera bread,food_beverage
the Tap,fashion
Blackstone Grill,rest_drink
HENNESSY'S,rest_drink
THE UNION BAR,rest_drink
UNION OYSTER HOUSE,rest_drink
Bell in Hand Tavern,rest_drink
Bell in Hand  ,rest_drink
PORTER ALES Durty Neily's WINE SPIRITS,food_beverage
HAYMARKET PIZZA,rest_drink
HAYMARKET PIZZA,rest_drink
HAYMARKET BARGAIN BASEMENT FISH & MEAT,food_beverage
Hard Rock CAFE,rest_drink
KOY KOREAN FUSION,rest_drink
QUINCY MARKET,food_beverage
crocs,fashion
OLD TOWN TROLLEY TOURS,other
BOSTON SEGWAY TOURS,other
Great Wall Restaurant,rest_drink
PROVISIONS,finance_investing
Sakurabana SUSHI BAR JAPANESE CUISINE,rest_drink
ST RBUCKS COFFEE,rest_drink
Jordan & Co Hair Salon,health_pcare
Indian Cuisine,rest_drink
Hasty Market 24 Hrs,food_beverage
pita thyme Lebbanese Mediteranean Cafe,rest_drink
POSTNET Your Neighborhood Bbusiness Center,other
Harvard Vanguard Medical Associates Atrius Health,health_pcare
BOSTON INSTANT SHOE REPAIR,fashion
OLIVER STREET VARIETY,food_beverage
OLIVER STREET VARIETY,food_beverage
FLAME CAFE,rest_drink
KANE'S HANDCRAFTED DONUTS,rest_drink
DUNKIN DONUTS,rest_drink
Santan r,finance_investing
Santander,finance_investing
REPUBLIC FITNESS,health_pcare
REPUBLIC FITNESS,health_pcare
Panera BREAD,rest_drink
RED APPLE MARKET,food_beverage
ABC IMAGING PRINTING & GRAPHICS Products & Services On-site Services Digital Blueprinting Print-on Demand Posters & Signs Offset Printing Mounting & Laminating Digital Printing Bindery Services,technology
Brandy Pete's Restaurant and Grille,rest_drink
Mini's Style FULL SERVICE HAIR SALON,health_pcare
Siam Bistro Thai Cuisine,rest_drink
HOLLYWOOD MARKET & DELI,food_beverage
envision,health_pcare
ADVANTAGE HAIR STYLISTS,health_pcare
SLATE BAR & GRILL,rest_drink
SLATE BAR & GRILL,rest_drink
DUNKIN DONUTS,rest_drink
STARBUCKS COFFEE,rest_drink
STARBUCKS COFFEE,rest_drink
DUNKIN DONUTS,rest_drink
kwench JUICE CAFE,rest_drink
CONGRESS CARD & TOBACCO,other
FedEx Office,other
TD Bank,finance_investing
Pay Less Convenience,food_beverage
HALE & HEARTY,rest_drink
FedEx Office,other
FedEx Office,other
FedEx Office,other
FedEx Office,other
SEBASTIANS,rest_drink
WINE & SPIRITS,food_beverage
BrooklineBank,finance_investing
Citizens bank,finance_investing
Citizens bank,finance_investing
Citizens bank,finance_investing
Allen-Edmonds,fashion
Citizens bank,finance_investing
BOSTON SHAWARMA RESTAURANT,rest_drink
HOUSE OF FALAFEL,rest_drink
T Mobile,technology
SPYCE,rest_drink
BGOOD FOOD WITH ROOTS,rest_drink
TEN THOUSAND VILLAGES,fashion
FALAFEL KING,rest_drink
THE Vitamin Shoppe SINCE 1977,health_pcare
POTBELLY SANDWICH SHOP,rest_drink
THE Vitamin Shoppe SINCE 1977,health_pcare
THE Vitamin Shoppe SINCE 1977,health_pcare
THE Vitamin Shoppe SINCE 1977,health_pcare
HAIR HUSTLE HAIR,health_pcare
CHIPOTLE,rest_drink
THE CHICKEN & RICE GUYS,rest_drink
LUKE'S LOBSTER,rest_drink
STON & MURPHY,fashion
SWEET,food_beverage
CHIPOTLE,rest_drink
DAVIDsTEA,food_beverage
7-ELEVEN,food_beverage
lou lou,fashion
Walgreens,health_pcare
Bank of America,finance_investing
Bank of America,finance_investing
SPA DAY,health_pcare
DUNKIN DONUTS,rest_drink
verizon wireless,technology
BOSTON DIAMOND CO,fashion
Homsy Jewelers,fashion
BOSTON JEWELRY EXCHANGE,fashion
GNC,health_pcare
McDonald's,rest_drink
B RRY'S,fashion
BOOTCAMP,fashion
GENTLE DENTAL,health_pcare
Bank of America,finance_investing
MATION CENTER,other
MOOYAH BURGERS . FRIES . SHAKES,rest_drink
MBERT'S Marketplace ON THE COMMON Bakery Deli Fresh Prepared Foods,food_beverage
abcd Action for Boston Community Development Inc,other
Unique Boutique,fashion
HERRERA'S MEXICAN GRILL HEALTHY & AUTHENTIC MEXICAN FOOD,rest_drink
GORDON'S,food_beverage
SIMPSONS INC SINCE 1898,other
STODDARD'S,rest_drink
MEN'S WEARHOUSE,fashion
MEN S WEARHOUSE,fashion
EXPRESSIONS,fashion
Boston Common Coffe Co,rest_drink
CAFFE NERO THE ITALIAN COFFEE COMPANY,rest_drink
Citizens Bank,finance_investing
sip WINE BAR . KITCHEN,rest_drink
rochebobois PARIS,fashion
CATHAY BANK,finance_investing
Walgreens,health_pcare
CVS/pharmacy,health_pcare
PHARMACY,health_pcare
Walgreens,health_pcare
MASSAGE THERAPY SA SA ADVANTURE BEAUTY & SPA INC,health_pcare
verizon  ,technology
BIG BEAR FOOD MART ATM,food_beverage
I Do Wedding DRESSES & PHOTOGRAPHY,fashion
Tufts Medical Center,health_pcare
TREMONT VARIETY,food_beverage
American Red Cross Donor Center,health_pcare
SUBWAY,rest_drink
INTERMISSION TAVERN,rest_drink
MARIA'S TAQUERIA,rest_drink
New York Pizza,rest_drink
Budweiser,food_beverage
Bank of America,finance_investing
7-ELEVEN,food_beverage
VAPIANO,rest_drink
AMBERT'S Marketplace FRUIT PRODUCE FLOWERS,food_beverage
CHINA PF CHANG'S BISTRO,rest_drink
Remington's OF BOSTON EATING & DRINKING EXCHANGE,rest_drink
emerson's,rest_drink
CARBON SALON,health_pcare
CARBON SALON,health_pcare
THINKING CUP COFFEE BAR,rest_drink
FIRST BOSTON REALTY,finance_investing
DR PHIL ELECTRONIC REPAIR CENTER,technology
GLOBAL PACK SHIP,other
H&R BLOCK,finance_investing
Sal's PIZZA,rest_drink
Sal's PIZZA,rest_drink
Cmart Supermarket,food_beverage
THE MORSON COLLECTION,fashion
Bikram Yoga,health_pcare
THE MORSON COLLECTION,fashion
SUN MORTGAGE COMPANY,finance_investing
BOSTON ORAL & FACIAL SURGERY,health_pcare
HAPPY FEET SPA,health_pcare
STUDIO VERTICALE,fashion
STUDIO VERTICALE,fashion
WINGS FLOWERS,other
cricket,technology
LE GALA HAIR GROUP,health_pcare
Rainbow Helath Center,health_pcare
Da Da Hair & Spa,health_pcare
BOSTON KITCHEN PIZZA PIZZA GOURMET BURGERS & DINNERS,rest_drink
TOYS STATIONERY HOUSEWARES ARDWARES ELECTRONICS  SUPER 99 PLUS PARTY SUPPLY GARDEN HAIR CARE GIFTS GENERAL MERCHANDISE,other
NEW SAIGON SANDWICH,rest_drink
DANTHANH Jewelers & Gifts,fashion
Jay Luck SZECHUAN RESTAURANT,rest_drink
EMPIRE GARDEN DIM SUM - CHINESE DELICACIES & COCKTAILS,rest_drink
WINE GALLERY,food_beverage
Pho Pasteur VIETNAMESE CUISINE EAT IN OR TAKE OUT,rest_drink
CROWN POINT PHARMACY,health_pcare
CUON'S VEGAN SANDWICHES . BUBBLE TEAS . DESSERTS,rest_drink
MY THAI VEGAN CAFE VEGAN CAKE - BUBBLE TEA BISTRO,rest_drink
spicy world,rest_drink
